,Unknown,Resting,Freezing,Grooming,Slow Movement,Thigmotaxis,Rearing,Jumping,Circling,Sniffing,Sleeping,Moderate Movement,Exploration
Unknown,0.9519575729215412,0.011494252873563218,0.0012854082361342537,0.0005000500050005,0.015916325602546612,0.13130128956623682,0.0593607305936073,0.023255813953488372,0.0546875,6.724497343823549e-05,0.25,1.0,0.0
Resting,0.014038371548900327,0.0,0.0,0.34963496349634965,0.0482037289677126,0.3305978898007034,0.2511415525114155,0.16666666666666666,0.0390625,0.0005379597875058839,0.0,0.0,0.0
Freezing,0.00015598190609889253,0.5905172413793104,0.9078314686979291,0.0007000700070007,0.44201909959072305,0.0035169988276670576,0.0,0.0,0.0,0.028444623764373612,0.0,0.0,0.0
Grooming,0.011854624863515833,0.30507662835249044,0.05610568912163771,0.42594259425942593,0.17235106866757616,0.13130128956623682,0.365296803652968,0.18992248062015504,0.12109375,0.08634254589469437,0.0,0.0,0.0
Slow Movement,0.0048354390890656684,0.04118773946360153,0.019304927398238515,0.041204120412041204,0.2514779445202365,0.06565064478311841,0.0776255707762557,0.03488372093023256,0.0234375,0.007665926971958846,0.0,0.0,0.0
Thigmotaxis,0.007487131492746842,0.021312260536398467,0.003023089740537967,0.0319031903190319,0.020918599363346977,0.06447831184056271,0.0776255707762557,0.025839793281653745,0.11328125,0.006993477237576491,0.0,0.0,0.0
Rearing,0.002339728591483388,0.006704980842911878,0.0007141156867412521,0.006900690069006901,0.009549795361527967,0.015240328253223915,0.0958904109589041,0.025839793281653745,0.0078125,0.0,0.0,0.0,0.0
Jumping,0.0004679457182966776,0.013649425287356323,0.0016424660795048799,0.0165016501650165,0.007276034561164165,0.044548651817116064,0.0547945205479452,0.3281653746770026,0.0859375,0.009145316387600027,0.1,0.0,0.0
Circling,0.003275620028076743,0.0004789272030651341,0.0001428231373482504,0.0022002200220022,0.001364256480218281,0.02579132473622509,0.0182648401826484,0.04521963824289406,0.2421875,0.005177862954744133,0.05,0.0,1.0
Sniffing,0.002963656215878958,0.009578544061302681,0.009950011901928112,0.12451245124512451,0.030923146884947704,0.18522860492379836,0.0,0.15891472868217055,0.29296875,0.8548853473202878,0.6,0.0,0.0
Sleeping,0.0004679457182966776,0.0,0.0,0.0,0.0,0.0023446658851113715,0.0,0.0012919896640826874,0.01171875,0.0007396947078205904,0.0,0.0,0.0
Moderate Movement,0.00015598190609889253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0
Exploration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0
